filename,reference_built_pixels,reference_built_pixels_with_valid_hisdac,valid_hisdac_coverage
MSA_10540_X10240_Y20608.tif,14062,13719,0.9756080216185464
MSA_10540_X10368_Y20736.tif,5877,5649,0.9612046962736089
MSA_10540_X10624_Y21120.tif,7850,7660,0.975796178343949
MSA_10540_X9728_Y20352.tif,3375,2454,0.7271111111111112
MSA_10540_X9856_Y20352.tif,2661,1883,0.7076287110108982
MSA_10540_X9984_Y19968.tif,9711,8649,0.8906394810009268
MSA_10540_X9984_Y20224.tif,8250,7900,0.9575757575757575
MSA_11020_X129280_Y40832.tif,5743,52,0.009054501131812642
MSA_11020_X129280_Y41088.tif,12587,61,0.004846269961070946
MSA_11020_X129408_Y41088.tif,22111,71,0.003211071412419158
MSA_11020_X129536_Y40832.tif,8467,724,0.08550844454942719
MSA_11020_X129536_Y41216.tif,13698,10,0.0007300335815447511
MSA_12220_X112896_Y73088.tif,4559,4175,0.9157710024128098
MSA_12220_X112896_Y73216.tif,8742,7281,0.832875772134523
MSA_12220_X112896_Y73472.tif,6026,4600,0.7633587786259542
MSA_12220_X113024_Y73216.tif,21062,19193,0.9112619884151553
MSA_12220_X113024_Y73344.tif,18455,16217,0.8787320509347061
MSA_12220_X113024_Y73472.tif,7808,6882,0.8814036885245902
MSA_12220_X113280_Y72960.tif,10426,9909,0.9504124304623057
MSA_12220_X113408_Y73088.tif,14434,13196,0.9142302895940141
MSA_12220_X113408_Y73216.tif,7796,6997,0.8975115443817342
MSA_12220_X113536_Y73216.tif,4134,3503,0.847363328495404
MSA_12220_X114176_Y73472.tif,10572,10060,0.9515701853953841
MSA_12540_X10368_Y56960.tif,6997,6518,0.9315420894669144
MSA_12540_X10496_Y56960.tif,7355,6696,0.9104010876954453
MSA_12540_X11264_Y55424.tif,6500,6010,0.9246153846153846
MSA_12540_X11264_Y55680.tif,6512,5841,0.8969594594594594
MSA_12540_X11392_Y54784.tif,2233,390,0.17465293327362294
MSA_12540_X11392_Y56192.tif,5028,4674,0.9295942720763724
MSA_12540_X11520_Y54912.tif,4965,3945,0.7945619335347432
MSA_12540_X11520_Y55168.tif,4106,3269,0.7961519727228447
MSA_12540_X11520_Y56064.tif,2425,1855,0.7649484536082474
MSA_12540_X11520_Y56320.tif,24335,24089,0.9898911033490857
MSA_12540_X11648_Y54912.tif,8869,7660,0.8636824895704138
MSA_12540_X11648_Y56064.tif,7536,7154,0.9493099787685775
