training_regime,training_regime_label,dataset_name,family,model_class,learning_rate,learning_rate_label,learning_rate_display,checkpoint,target,evaluation_mode,mask_type,hisdac_code,land_use_type,n_tiles,median_tile_bias_m,tile_bias_iqr_low_m,tile_bias_iqr_high_m,reference_mean_bh_m,generated_mean_bh_m,mean_bias_m,mae_m,n_pixels,n_reference_built_pixels
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,2,Commercial,1935,-1.5276877880096436,-4.653830051422119,0.5111824870109558,8.58078555746782,6.826442766582372,-1.7543427667896414,5.144063730577588,10392138,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,2,Commercial,1935,0.09059203416109084,-2.542495369911194,2.065886974334717,9.227821067418096,8.411421821313052,-0.8163992424877613,5.205968042221075,9663463,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,2,Commercial,1936,6.560041904449463,3.7476399540901184,9.431349277496336,5.987547971146042,11.241307707479272,5.2537597654533785,8.50296223773685,14893026,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,2,Commercial,1936,1.8938502669334412,0.17451466247439384,4.022360324859619,7.763590359672385,8.798059955329489,1.034469601091937,6.0522419019482445,11486014,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,2,Commercial,1936,0.9240022599697113,-1.2036003470420837,2.678871810436249,7.98696647115854,7.968130558235503,-0.018835889231498173,5.799181689675712,11164778,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,2,Commercial,1935,-0.25119438767433167,-3.356900930404663,1.6570372581481934,9.23026633679665,8.2132558761593,-1.0170104586705262,5.2505576760944015,9660903,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,2,Commercial,1935,-0.45234549045562744,-3.5394577980041504,1.408275544643402,9.302760389918049,7.964906733207486,-1.3378536996369785,5.15069174795675,9585618,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,2,Commercial,1935,-0.4879160523414612,-3.3692548274993896,1.3115304708480835,9.139069574594243,7.820672596101275,-1.318396969789154,5.165530090493628,9757307,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,3,Industrial,924,-1.2439298033714294,-3.887254059314728,0.6719041168689728,9.196736925640307,8.146484212294915,-1.0502527171134737,4.661186989582171,294611,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,3,Industrial,923,-0.21531698107719421,-2.7418845891952515,2.0683891773223877,9.930181169940587,9.431921246506596,-0.4982599575687344,4.7207686170110925,272851,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,3,Industrial,929,5.497871398925781,2.496656894683838,8.826650619506836,7.196211166932627,11.410258507677412,4.214047280879141,7.277150239546587,376512,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,3,Industrial,931,1.5416710376739502,-0.5187299847602844,4.039175510406494,8.951121959965954,9.562455689993518,0.6113336886234779,5.193600034017853,302695,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,3,Industrial,931,0.660345733165741,-1.6430333852767944,3.10895836353302,8.820976199186738,8.597626171132832,-0.2233500593247603,5.113438101196959,307161,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,3,Industrial,924,0.17634669691324234,-2.359124779701233,2.1263415217399597,9.820655302163093,9.636207018753947,-0.18444823491293863,4.842393783599298,275894,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,3,Industrial,923,-0.30313625931739807,-3.1446609497070312,1.856428325176239,9.868011309727432,9.173358047235585,-0.6946532889203726,4.697160263281994,274570,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,3,Industrial,924,-0.39368361234664917,-3.113246202468872,1.6513753235340118,9.842524086458894,8.719803749067962,-1.1227203663272767,4.561512104717004,275281,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-1.3578513860702515,-4.345814228057861,0.6795604676008224,8.82493749825399,6.918157027929705,-1.9067804391838619,5.24054752907563,4675198,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,5,Residential-Income,1842,-0.02788835205137729,-2.8071137070655823,2.1012370586395264,9.417448175203925,8.138246354526846,-1.2792017996373504,5.333895036101295,4381052,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,5,Residential-Income,1845,4.449191093444824,1.9793882369995115,7.354240417480469,7.441965324138598,10.201691052478806,2.759725712491647,7.144591537208219,5544010,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,5,Residential-Income,1844,1.0543281435966492,-1.1391174793243408,3.2254735827445984,8.6279445060392,8.349110509543635,-0.2788339758659541,5.702603194242789,4781942,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,5,Residential-Income,1844,0.34116603434085846,-2.3704794049263,2.297996759414673,8.717540117004772,7.5668746630213395,-1.150665411529274,5.7111433762597335,4732795,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.42178085446357727,-3.560349225997925,1.7492191195487976,9.394452272316991,7.849304996509916,-1.545147283800901,5.388658005421073,4391776,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.6350550353527069,-3.6501530408859253,1.3399569392204285,9.453108900684422,7.691926068787179,-1.7611828528396174,5.266470230380844,4364525,NA
MSASample,CONUS Model,CONUSStratifiedTest,2A,Single-latent cGAN,0.001,lr_0p001,0.001,1000,BH,oracle_bf,active_union,5,Residential-Income,1840,-0.7940597832202911,-3.7906201481819153,1.3026268482208252,9.404128871692015,7.54750323432142,-1.8566256300834807,5.296650157371115,4387257,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,1e-4,lr_0p0001,0.0001,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,-2.2084901332855225,-5.791461825370789,0.37844621390104294,9.057741899275902,6.543885493182415,-2.5138564192410233,5.872438427348212,13169928,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,2e-4,lr_0p0002,0.0002,1000,BH,oracle_bf,active_union,6,Residential-Owned,1922,0.27976977825164795,-2.596679985523224,2.7308921217918396,9.652033403296667,9.197980188118596,-0.45405319962410134,6.03290929105802,12359034,NA
MSASample,CONUS Model,CONUSStratifiedTest,1,U-Net,5e-4,lr_0p0005,0.0005,1000,BH,oracle_bf,active_union,6,Residential-Owned,1925,8.70333194732666,4.559151649475098,11.926626205444336,4.752546797741062,13.325736004486277,8.573189231216814,11.153740743021956,25100186,NA
