"model_key","model_class","model_class_label","training_regime","training_regime_label","learning_rate","n_new_developed_pixels","baseline_volume_2010_m3","reference_delta_m3","generated_delta_m3","reference_total_2020_m3","generated_total_2020_m3","reference_growth_pct","generated_growth_pct","generated_to_reference_delta_ratio","evaldf_path"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,150166,4441738811.65869,136322786.400911,98384299.9874618,4578061598.0596,4540123111.64615,3.06913108089765,2.21499516651502,0.721701063959506,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",2e-04,150166,4441738811.65869,136322786.400911,95585066.7477959,4578061598.0596,4537323878.40649,3.06913108089765,2.15197405342484,0.701167202280405,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0002.csv"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,150166,4441738811.65869,136322786.400911,102754346.699815,4578061598.0596,4544493158.3585,3.06913108089765,2.31338111169673,0.753757676267158,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0005.csv"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",0.001,150166,4441738811.65869,136322786.400911,84179981.7729282,4578061598.0596,4525918793.43162,3.06913108089765,1.89520332784927,0.61750485003559,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.001.csv"
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",1e-04,150166,4441738811.65869,136322786.400911,93969201.8938895,4578061598.0596,4535708013.55258,3.06913108089765,2.11559494779925,0.689313975856802,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_conus_model/Evaldf_0.0001.csv"
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",2e-04,150166,4441738811.65869,136322786.400911,106685843.980445,4578061598.0596,4548424655.63914,3.06913108089765,2.40189368407741,0.782597295705894,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_conus_model/Evaldf_0.0002.csv"
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",5e-04,150166,4441738811.65869,136322786.400911,138305302.184427,4578061598.0596,4580044113.84312,3.06913108089765,3.11376485761393,1.01454280561495,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_conus_model/Evaldf_0.0005.csv"
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",0.001,150166,4441738811.65869,136322786.400911,107869267.422988,4578061598.0596,4549608079.08168,3.06913108089765,2.42853693107422,0.791278334832126,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_conus_model/Evaldf_0.001.csv"
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",1e-04,150166,4441738811.65869,136322786.400911,98493183.4916943,4578061598.0596,4540231995.15038,3.06913108089765,2.21744653767504,0.722499782259704,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/single_latent_los_angeles_model/Evaldf_0.0001.csv"
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",2e-04,150166,4441738811.65869,136322786.400911,99503201.6738338,4578061598.0596,4541242013.33252,3.06913108089765,2.24018578968798,0.729908801755309,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/single_latent_los_angeles_model/Evaldf_0.0002.csv"
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",5e-04,150166,4441738811.65869,136322786.400911,108977011.237368,4578061598.0596,4550715822.89606,3.06913108089765,2.45347634920192,0.799404223714138,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/single_latent_los_angeles_model/Evaldf_0.0005.csv"
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",0.001,150166,4441738811.65869,136322786.400911,101394519.279476,4578061598.0596,4543133330.93817,3.06913108089765,2.28276635747549,0.743782620326479,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/single_latent_los_angeles_model/Evaldf_0.001.csv"
