"learning_rate","target","scale","n","mae","mb","r2","slope","reference_mean","generated_mean","source","training_regime","family","model_key","model_class","model_class_label","training_regime_label"
1e-04,"BF","pixel_new_developed",150166,0.107665775662045,0.00918823598609532,0.313865372301909,0.42386148347315,0.146456193989421,0.155644429975516,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
2e-04,"BF","pixel_new_developed",150166,0.102088727159073,0.00435033430880952,0.346420200236484,0.466205103040024,0.146456193989421,0.15080652829823,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
5e-04,"BF","pixel_new_developed",150166,0.0997314986289255,0.0072748561147887,0.364311702431888,0.512122672860807,0.146456193989421,0.153731050104209,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
0.001,"BF","pixel_new_developed",150166,0.0946229795763745,-0.00653298115877212,0.386356028595641,0.479617110549235,0.146456193989421,0.139923212830648,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
1e-04,"BH","pixel_new_developed",150166,2.1896022218169,-0.196227936431904,0.198899045418281,0.219001405621694,3.255019946495,3.05879201006309,"/Volumes/HDD/Models/LALegacyModels/1_BH_UNETBaseline/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
2e-04,"BH","pixel_new_developed",150166,2.09626065524445,-0.388431049338708,0.224791478023764,0.239663626873689,3.255019946495,2.86658889715629,"/Volumes/HDD/Models/LALegacyModels/1_BH_UNETBaseline/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
5e-04,"BH","pixel_new_developed",150166,2.03907592986038,-0.294764728334654,0.260607257938426,0.273205812596348,3.255019946495,2.96025521816034,"/Volumes/HDD/Models/LALegacyModels/1_BH_UNETBaseline/lr_0p0005_seed_4026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
0.001,"BH","pixel_new_developed",150166,2.04342684520014,-0.52526148858362,0.252896261096856,0.233432246719701,3.255019946495,2.72975845791137,"/Volumes/HDD/Models/LALegacyModels/1_BH_UNETBaseline/lr_0p001_seed_5026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
1e-04,"BF","window_256",107,0.0245326373412787,0.00694168870833433,0.599332603436219,0.707172721393617,0.1424152860505,0.149356974758834,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p0001_seed_2026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
2e-04,"BF","window_256",107,0.02239595381456,0.00146269798278809,0.634921360195713,0.734954248474151,0.1424152860505,0.143877984033288,"/Volumes/HDD/Models/LALegacyModels/1_BF_UNETBaseline/lr_0p0002_seed_3026/generator_epoch_1000.pth","LALegacy","1","unet_los_angeles_model","1","U-Net baseline","Los Angeles Model"
