"model_key","model_class","model_class_label","training_regime","training_regime_label","learning_rate","n_windows","n_windows_with_expected_variance","n_windows_for_log_metrics","nonpositive_generated_expected_variance_windows","nonpositive_generated_variance_windows","median_log10_variance_ratio","q1_log10_variance_ratio","q3_log10_variance_ratio","median_generated_variance","median_expected_variance","pct_windows_below_expected","pct_windows_within_expected_ci","expected_vs_generated_log_slope","expected_vs_generated_log_slope_ci95_low","expected_vs_generated_log_slope_ci95_high","expected_vs_generated_log_r2"
"single_latent_conus_model","2A","single-latent cGAN","MSASample","CONUS Model",1e-04,107,107,107,0,0,-0.259733285381373,-0.369043526084977,-0.109876235506526,896846.57969746,1734405.79701045,80.3738317757009,17.7570093457944,1.41969176658256,1.33511642384712,1.504267109318,0.913424164782373
"single_latent_conus_model","2A","single-latent cGAN","MSASample","CONUS Model",2e-04,107,107,107,0,0,-0.287835169496301,-0.359334151497948,-0.0984180416409095,1062016.68623557,1994086.04185086,82.2429906542056,18.6915887850467,1.2901771559665,1.1907388969334,1.38961541499961,0.863075298420867
"single_latent_conus_model","2A","single-latent cGAN","MSASample","CONUS Model",5e-04,107,107,107,0,0,-0.251851093480546,-0.349755544102927,-0.0951564358996262,1026858.30662097,2057882.84932909,82.2429906542056,16.8224299065421,1.5626286158347,1.43842950065415,1.68682773101526,0.855641578248388
"single_latent_conus_model","2A","single-latent cGAN","MSASample","CONUS Model",0.001,107,107,107,0,0,-0.271883897488964,-0.380547907508916,-0.142256008865179,1057298.15325889,2229372.46998121,86.9158878504673,17.7570093457944,1.4409619695342,1.31564967374452,1.56627426532387,0.831960999032857
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",1e-04,107,107,107,0,0,-0.288689240521728,-0.371358512711532,-0.16214945096818,559616.437281461,1146131.20460246,91.588785046729,16.8224299065421,0.965101671249475,0.886828602799729,1.04337473969922,0.850577130396372
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",2e-04,107,107,107,0,0,-0.298818353314053,-0.387840970461535,-0.175110840358385,571746.614719416,1192852.46360754,90.6542056074766,15.8878504672897,0.995383068153218,0.881582857411326,1.10918327889511,0.741243476869467
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",5e-04,107,107,107,0,0,-0.235160932208169,-0.344755039398037,-0.146316726118298,775277.723889179,1410122.82635085,91.588785046729,19.6261682242991,0.918713307037924,0.831062937303082,1.00636367677277,0.804445104742256
"single_latent_los_angeles_model","2A","single-latent cGAN","LALegacy","Los Angeles Model",0.001,107,107,107,0,0,-0.238939906331182,-0.336390355231665,-0.126576435086536,633379.405512401,1166726.51808609,89.7196261682243,23.3644859813084,0.933844138396089,0.836668043950109,1.03102023284207,0.775676204936317
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",1e-04,107,107,107,0,0,-0.161771984603803,-0.299049936283498,-0.0119080140659196,727631.957785075,1095437.05062473,74.7663551401869,26.1682242990654,1.19407053652302,1.11357255990462,1.27456851314141,0.891761121060597
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",2e-04,107,107,107,0,0,-0.225136222983302,-0.399951098060934,-0.140215333770826,712703.254258373,1509449.80834093,82.2429906542056,11.214953271028,1.39410141557235,1.24772077775642,1.54048205338828,0.772532206156259
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",5e-04,107,107,107,0,0,-0.265252301430328,-0.377288943106375,-0.143326029747986,1190223.53668541,2315089.13657078,85.981308411215,18.6915887850467,1.32198875573163,1.18704474164506,1.4569327698182,0.782303366229643
"unet_conus_model","1","U-Net baseline","MSASample","CONUS Model",0.001,107,107,107,0,0,-0.272426167344546,-0.390037759678768,-0.139797098673511,698174.268235108,1490959.28699755,88.785046728972,16.8224299065421,1.28604125777972,1.16800758951576,1.40407492604368,0.816345768408338
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,107,107,107,0,0,-0.392602682920207,-0.535637839264007,-0.278267488725563,403977.222437304,1080350.19412557,96.2616822429907,7.47663551401869,0.702622100118201,0.604730983598946,0.800513216637455,0.658586565073357
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",2e-04,107,107,107,0,0,-0.274831492228785,-0.417964809207422,-0.193471989527494,521708.16861611,990734.941912303,94.392523364486,16.8224299065421,0.764815574509314,0.676567876780085,0.853063272238544,0.73770017723014
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",5e-04,107,107,107,0,0,-0.264080860024417,-0.411588877783787,-0.124036536522708,669639.97727198,1178210.61575173,92.5233644859813,23.3644859813084,0.786564518538337,0.705302782816397,0.867826254260277,0.778176964540396
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",0.001,107,107,107,0,0,-0.292263858994845,-0.410623440475523,-0.157135976608785,489119.225640618,863117.659882265,88.785046728972,16.8224299065421,0.883680439914157,0.775443498083007,0.991917381745308,0.7139447447296
