"model_key","model_class","model_class_label","training_regime","training_regime_label","learning_rate","window_id","window_row","window_col","n_pixels","generated_mean","generated_variance","generated_expected_variance","generated_expected_variance_ci95_low","generated_expected_variance_ci95_high","generated_log10_variance_ratio","reference_mean","reference_variance","reference_expected_variance","reference_expected_variance_ci95_low","reference_expected_variance_ci95_high","reference_log10_variance_ratio","evaldf_path","generated_growth_pct","reference_growth_pct"
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,1,1,4,376,457.034114650235,340934.936096203,668610.553440643,489341.529799718,913554.327496323,-0.292501720981172,673.284322352117,776669.807421671,1418389.92386548,1032935.34472159,1947682.38535336,-0.261559214866573,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,2,1,5,2873,432.851049631697,196088.69361327,601643.194147102,440637.194585838,821479.751394467,-0.486886455115644,919.540035845735,1253510.86855836,2597722.15738253,1884218.23128624,3581411.2690915,-0.31646459485402,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,3,1,6,1631,309.500463211894,163000.473730953,313716.136071436,230754.606515252,426504.222463212,-0.284347990719432,382.277176224914,608163.144087705,472701.090539566,346754.354811977,644393.698006926,0.109433493246531,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,4,1,7,540,510.474518594828,403770.442889393,828714.088447023,605656.848770871,1133921.03430237,-0.312270197857123,820.132858823158,1685056.64388418,2080351.65564922,1511170.72044647,2863914.01885011,-0.0915222484036353,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,5,2,3,348,400.519307849795,195059.375641587,517473.675852752,379370.460866596,705850.963169015,-0.423721432146539,583.114429750892,488822.873437225,1072931.80534022,782801.751128536,1470592.85093704,-0.341420599838488,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,6,2,4,1396,654.353411298732,532743.927516538,1341993.83678063,977658.397762168,1842102.9902464,-0.401232013196352,1088.67011100457,3302729.19463101,3605282.68065437,2609371.29047683,4981300.76576843,-0.0380663568426028,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,7,2,5,1481,818.631262586197,471725.818093227,2072963.73017289,1505839.56924761,2853676.25766361,-0.642902057151826,1117.40056776099,2449083.63757663,3792279.82981508,2743794.69148165,5241422.16335305,-0.189896759372848,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,8,2,6,1384,668.723011300635,467794.60454832,1399795.15056986,1019482.81634298,1921980.86338288,-0.476009276182241,816.481194901174,1445455.32557506,2062407.48376139,1498221.92901256,2839048.43915773,-0.154369802362713,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,9,2,7,2309,298.541555676874,262472.041693996,292511.518440367,215257.166345012,397491.938935727,-0.0470599227723019,391.641129620083,866225.085654845,495438.159967142,363320.382495047,675599.229159609,0.242641302575761,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,10,2,8,427,390.957575287233,161387.043525042,493760.868651142,362098.497631911,673296.898511199,-0.485648002663296,714.296708224943,1037885.38753054,1590919.99554161,1157699.78488831,2186254.55861023,-0.185498942791545,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,11,3,3,527,298.030867736046,143118.026759146,291540.929829317,214547.635601025,396164.299492922,-0.309005194808601,748.711936674946,967507.682325204,1743094.06972155,1267669.12896712,2396821.74667618,-0.255666403209717,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
"unet_los_angeles_model","1","U-Net baseline","LALegacy","Los Angeles Model",1e-04,12,3,4,702,636.946928273758,614500.890048838,1273560.77918701,928125.50178159,1747562.21563784,-0.316497159727332,1298.66393956768,7280178.78945513,5077422.95427707,3666535.42661807,7031221.80941227,0.156498702951587,"/Users/9oy/Documents/Projects/IM3/EvaluationP/Script/Revision/5_UrbanScaling/data/model_evaldfs/unet_los_angeles_model/Evaldf_0.0001.csv",2.21499516651502,3.06913108089765
